country,GDP Per Capita,Life Satisfaction
Luxembourg,"101,994.09 ",6.9
Switzerland,"80,675.31 ",7.5
Norway,"74,822.11 ",7.4
United States,"55,805.20 ",7.2
Denmark,"52,114.17 ",7.5
Ireland,"51,350.74 ",7
Australia,"50,961.87 ",7.3
Iceland,"50,854.58 ",7.5
Sweden,"49,866.27 ",7.2
United Kingdom,"43,770.69 ",6.8
Austria,"43,724.03 ",6.9
Netherlands,"43,603.12 ",7.3
Canada,"43,331.96 ",7.3
Finland,"41,973.99 ",7.4
Germany,"40,996.51 ",7
Belgium,"40,106.63 ",6.9
France,"37,675.01 ",6.5
New Zealand,"37,044.89 ",7.3
Israel,"35,343.34 ",7.4
Japan,"32,485.55 ",5.9
Italy,"29,866.58 ",6
Korea,"27,195.20 ",5.8
Spain,"25,864.72 ",6.5
Slovenia,"20,732.48 ",5.7
Portugal,"19,121.59 ",5.1
Greece,"18,064.29 ",4.8
Estonia,"17,288.08 ",5.6
Czech Republic,"17,256.92 ",6.5
Slovak Republic,"15,991.74 ",6.1
Chile,"13,340.91 ",6.7
Poland,"12,495.33 ",5.8
Hungary,"12,239.89 ",4.9
Turkey,"9,437.37 ",5.6
Russia,"9,054.91 ",6
Mexico,"9,009.28 ",6.7
Brazil,"8,670.00 ",7
